user;Comment;Label
danitembor_; Tingtingting bakso;NON-CYBERBULYING
areefboedi; Warung endi iki sing taplake apik? Hahaha;CYBERBULLYING
netizenobjektif; Partai Wong Cilik? ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ Wkwkwkwland ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚;NON-CYBERBULYING
lagilagialii; Saran bu : kalo makan pecel beneran di Pecel Mboto Jati Mulur, Pecel Mbah Diyem Pringgodani Mulur,â€¦ https://t.co/FeTtFs1468;NON-CYBERBULYING
Afif50740803; Wkwkwk;NON-CYBERBULYING
Tnmalik5; Apaan wong cilik? Yang memikirkan perut sendiri tidak bicara seperti itu!!!;CYBERBULLYING
masdhika6290; Bude.. Bude.. Itu BBM naik ko Tumben ga nangis bombay.. Haha..  Partai wong cilik tapi bagi2 kaosâ€¦ https://t.co/0e4s2brZFc;CYBERBULLYING
depwinnun;" ""partai wong cilik"" YANG BENER";CYBERBULLYING
Dickies82261617; Kalo Warung itu, contohnya Warung Pecel Pak Pete Rejotangan Tulungagung, Pecel 5 ribu, teh anget 2â€¦ https://t.co/FYFcNkPo7E;NON-CYBERBULYING
someshouldbahri; Ngopinya kurang kental... jd otaknya..ga penuh;CYBERBULLYING
dkaruniawanz; Wis Kono karepmu aq meh turu ngko Tangi tahun 2025;NON-CYBERBULYING
minannrhmnn;" Ini warga fesbuk parah banget, jelas"" itu foto nya ril gaada greenscreenðŸ˜¬ https://t.co/NWr9fc1tMm";NON-CYBERBULYING
Arif05978720; La aku wong gendut piye Bu???;NON-CYBERBULYING
tuleng_top; Kok gak malu lo ya , di saat rakyat kecil tercekik dengan kondisi ekonomi yg sperti sekarang ,ngomâ€¦ https://t.co/qhGoEvA1pq;CYBERBULLYING
8agussantoso; Masih PD aja bawa2 wong cilik/wong sendal jepitðŸ˜„ oh iya kan PD Ih PdðŸ¤­;CYBERBULLYING
cocoteradiator; Kau pikir kita bakalan gampang dikibuli ama pencitraan lagi?;CYBERBULLYING
Mashuri64351731; Saya sangat berharap yang dua ini jadi pasangan dalam pemilu 2024.... dan saya yakin akan tamat .....;NON-CYBERBULYING
Ruzzdeexxx; Jaman SBY waktu BBM naik nangisÂ²   Lah sekarang jadi ketua DPR RI ko malah di setujuin???   Kalauâ€¦ https://t.co/FGUBcI0vGL;CYBERBULLYING
wizardcyber8; Istilah tempat makan umum berbayar asli Indonesia selain warung emangnya ada?terus apa tuh korelasâ€¦ https://t.co/7NT1wvwFj5;NON-CYBERBULYING
versys650cc; Smoga cpt mati;CYBERBULLYING
gepaxsodox; iihhh.. ibu kocak tapi SYULITTT dilupakan. karena baik. macam reihan;CYBERBULLYING
din_nur08; ðŸ˜µâ€ðŸ’«ðŸ¤®ðŸ¤¬;NON-CYBERBULYING
windyfirlyA; Caption mengandung unsur pemanis buatan.;CYBERBULLYING
IbuibuB; Warung pecel ndi seng taplake mejo putih bersih ngene ki, bu?  Nggonku warung pecel taplak e mejaâ€¦ https://t.co/22uwX8bwfU;NON-CYBERBULYING
HerdiansyahHena; musim kampanye masih jauh, jeng! jangan sibuk cari muka depan rakyat deh, rakyat udah pintar, manaâ€¦ https://t.co/x2rgXXKtlC;CYBERBULLYING
MauladanRival; nitip;NON-CYBERBULYING
syendiprt; Wong cilik Your eyes !!;CYBERBULLYING
DewiRuqayah; Warung yg Indah ... ðŸ¤­;NON-CYBERBULYING
Ag51041004; Ngaku wong cilik kanggo ngapusi wong cilik!!;CYBERBULLYING
DjavaMuztama; Moooh aku...;NON-CYBERBULYING
SammiSoh; Terima kasih sdh posting gambar yg menjijikkan ini  Gambar ini menyadarkan kami bhw msh banyak pilâ€¦ https://t.co/JcnrZjg2zm;CYBERBULLYING
udienms84; Prettt lahh;NON-CYBERBULYING
masfaj666; Heleeeh... Lagu lama;NON-CYBERBULYING
heehkittu; gabakAl gw coblos ye lulupada;CYBERBULLYING
ragaahmad; duren adalah pilihan pencuci mulut yang cocok sembari makan pecel;NON-CYBERBULYING
sweetxxxmango; Duduk manis nyimak https://t.co/Et9xBRsVP0;NON-CYBERBULYING
mokaruniwa1757; Partainya wong cilik, yakin..?? ðŸ¤£ðŸ¤£ðŸ¤£  Pengen misohÂ² aq, takut tp .... ðŸ¤£;CYBERBULLYING
Shanks96_; Yakin dek puan ???;NON-CYBERBULYING
zryanto; Yakin partai wong cilik??? Kebijakan kalian selama memimpin nggak mencerminkan partai wong cilik.â€¦ https://t.co/qpJpT8EJYG;CYBERBULLYING
HijraCroc; Coba di warung pecel linggarjati baru pak-buk alamatnya di jl karimata jember sekitar kampus.  Ituâ€¦ https://t.co/NQ2aRQN2p8;NON-CYBERBULYING
Berasme01686469; ðŸ¤£ðŸ¤£ ngimpi;NON-CYBERBULYING
ikiomes; Nggeh bu matur suwun, persis kaya sekian purnama yang lalu, ada yang bilang dekat sama rakyat, samâ€¦ https://t.co/satF9k6hri;NON-CYBERBULYING
redcherrylipx; Kok ga ada tombol down ya buat dislike?;NON-CYBERBULYING
redcherrylipx; ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
sedayunesia; Ngomong opo toh;NON-CYBERBULYING
Fikriadyy1; Wkwk Lawak;NON-CYBERBULYING
dandinter; Sampean tenan arep nyalon presiden bu Puan?;NON-CYBERBULYING
sabrinasamosir; skincare nya pakai apa bu puan, mulus amat;NON-CYBERBULYING
RikoPrasstya5; Malesin ini;NON-CYBERBULYING
FarhanDidan; Aku gapernah makan duren bu mahal soal nya ðŸ˜­;NON-CYBERBULYING
muktiwbw_; lucu sekali ibu ini kalau ngelawak;CYBERBULLYING
ardiahsa;Masih punya urat malu nenek puan ? Udah berbuat bkin hati rakyat kecil sakit. Berani mau nyapres ? Patut di periksa jiwa anda nenek puan;CYBERBULLYING
Firmans42894631;Aku dari dulu gk pernah respek sama pejabat karna bagiku mereka hanya ingin nya korupsi koruptor dan koruptor...Di sumpah di bawah Alquran saja g takut apa lagi sama Tuhan nya ...Mending golput g usah nyoblos siapa pun mereka yg menang mereka yg senang rakyat sengsara;CYBERBULLYING
minitadpolee; Dari dulu tiap kampanye wong cilik wong cilik mulu, itu wong cilik kaga gede2 apa? Pemerintah kaga ada yg berhasil ni brati;CYBERBULLYING
IbnuCinnu; ora sesuai sama caption bu ðŸ˜„;CYBERBULLYING
KopetAnyep; Kl bakul bakso gmn mbak?;NON-CYBERBULYING
istiawan_hk; Saya sih tetap no no no...;NON-CYBERBULYING
ferdina09592894; pemilu dekat bawa nama wong cilik;NON-CYBERBULYING
OvieOvy; Yakin makan di warung mbak? Merakyatnya beda yah, percayalah orang2 melihatnya hanya pencitraan. Mâ€¦ https://t.co/Pq1U4hWztL;CYBERBULLYING
RidiFarrel; semoga banteng merah musnah dari bumi ,amin..... ðŸ—¿ðŸ˜…;CYBERBULLYING
diaDaniel11; Lol;CYBERBULLYING
keong89605974; Mbak puan, saya ndak pake sendal jepit kok mba walaupun wong cilik, saya pakai sepatu, yaa walaupun sepatu karet sih mba;NON-CYBERBULYING
Ahmadipa1398; You never be one of us 'wong cilik'. You never be one of our own 'kaum sandal jepit'. You'll never be our leader.;NON-CYBERBULYING
andhest17;Saya sangat setuju dengan pendapat ibu Semoga ibu selalu panjang umur. Maksud saya ibu kandung saya, Kalo ibu yg ini ya ndak tau kok tanya saya;NON-CYBERBULYING
Didi_papa_rock; Knp hujatan semua? ðŸ¤£ðŸ¤£ðŸ¤£;CYBERBULLYING
yusjulen; bobrok;CYBERBULLYING
kang_rofie; Iyain aja biar seneng;NON-CYBERBULYING
Tegarprdn; Wong cilik apa wong licik?;CYBERBULLYING
yusxrl; skip;NON-CYBERBULYING
AryanAlfaraby; Taik kau;CYBERBULLYING
coretanorgil; Heleh mangan pecel sesasi pisan wen dipoto lngsung dipost;NON-CYBERBULYING
DodipM_Pangestu; Au ah gelap;NON-CYBERBULYING
cakep67208050; Toloooong...mau muntah;CYBERBULLYING
LinMury; Saya ke sini juga nih gara2 diatas meja ada duren katanya dan bener dong;NON-CYBERBULYING
KristiY31410348; Wong cilik isone gor nyambel bawang lawoh krupuk.;NON-CYBERBULYING
ShabirinIman; Tanpa mengurangi rasa hormat...mohon anda berlapang dada utk tidak nyalon Mbak PuanðŸ™ðŸ™. Peradaban mâ€¦ https://t.co/GLE8hJH6EC;CYBERBULLYING
tukangkomen2_; HAHAHAHAHAHAHA KUNTUL;CYBERBULLYING
NikenPrihatin4; Listrik naik , BBM naik , semua kebutuhan pokok naik , mna ada partai wong cilik mencekik rakyat;CYBERBULLYING
AjisTour; Kt nya partai wong cilik...  Wong cilik lg menjerit mba  .. BBM selangitt... Bantuin dong mba,,, pliiiisss;NON-CYBERBULYING
sutan_roi; Sharelok warungnya woy;NON-CYBERBULYING
Warno05645169; Jangan mengklaim partai wong cilik, kalau Menyetujui kenaikan BBM. Simpelkan ?;NON-CYBERBULYING
roisakbar45;Tidak di kantor, tidak di rumah, pertemuan hari ini di warung pecel tumpang. Kenapa warung? Ya kenapa tidak, saya wong cilik, pakai sandal jepit, sak mene cilik e;NON-CYBERBULYING
iwangs; https://t.co/PaMQ5A65ww;NON-CYBERBULYING
ariffya33; lawak terusss;CYBERBULLYING
Dhori021; https://t.co/RHJZCBvnUK;NON-CYBERBULYING
Dhori021; nek kui bok darani wong cilik,wong sendal jepit,lha tros aku opo cok;CYBERBULLYING
scorpio_sad20; Oarng indonesia itu taidk prelu bejlaar meengja tulisan dgnan Bnear, kaerna tuilsian seeprti ini Jâ€¦ https://t.co/wyFrOLjjJf;NON-CYBERBULYING
QueenIstQo; Luan ciang hua ðŸ˜‘;NON-CYBERBULYING
Ur_WelcomeX; Ga usah repot2 bu, kami rakyat Indonesia ga bakal dikibulin oleh banteng lagi;CYBERBULLYING
adnyotroy; Komentarnya Nyinyir semua Bu ... Semoga Ibu Puan Banyak Instropeksi diri ... wong cilik sekarang sâ€¦ https://t.co/ZjP0sv0hJp;CYBERBULLYING
sruit8; Berjuang opo yuk, apa yg diperjuangkan;NON-CYBERBULYING
HandayaniHaries; Warung pecel menunya durian ðŸ˜‚;NON-CYBERBULYING
MrZoglenk; Pengen muntah .... https://t.co/aNSCGxyWn9;CYBERBULLYING
AfrizalAuliaRa1; Lain kali kalau mau pencitraan minimal mbok ya riset dulu..Yg dulu nanam padi pas hujanÂ²..;CYBERBULLYING
riqyek; Udah g usah dipaksain klo emg gk bisa acting nek;CYBERBULLYING
ImamNasruddin9; 2023 anti pdi perjyangan;CYBERBULLYING
Baldan22; Hahahaha;CYBERBULLYING
HSN71614032; .;NON-CYBERBULYING
fajar_070; Sendal jepi hermes;NON-CYBERBULYING
PSS_Fans; Partainya Wong Cilik, tp wong cilik menjerit2 apa2 naik gak ditolong. Dulu aja nangis2 bu saat bbm naik. Sekarang perjuangkan lg dong bu. Buktikan bu...Semangat.....;NON-CYBERBULYING
RizkiFarhand1ka; wong cilik Yang mana yang dimaksud ????????;NON-CYBERBULYING
Ariyaa12_; Dikit lagi lucu bu;CYBERBULLYING
devushkiy; bacottttttttttttttt;CYBERBULLYING
ardians1020; Kalo PDIP sudah pakai slogan partai wong cilik... Berarti pemilu sebentar lagi;NON-CYBERBULYING
WahyuHamzah4; Najis;CYBERBULLYING
MzoP20; Ngentiawww;CYBERBULLYING
Eskepalblewah1; Wong cilik kok mejanya table set-up;NON-CYBERBULYING
baksBey; kalo Ulang Tahun kenapa di Gedung MPR??? kan bisa di Warung juga... tantee;CYBERBULLYING
CallmeD00481588;Ciee ada yg mau jadi calpres dan berpura2 berbaur dengan masyarakat,kami rakyat juga ga bego2 amat sih, tau mana resto dan lalapan asli harga 10k. Saran aja sih ketika ada rapat dan ada yg membawakan suara rakyat mohon agar tidak di mute/di bisukan/di matikan mic nya;NON-CYBERBULYING
adifrmnsyh4; https://t.co/c5g2NzvSg6;NON-CYBERBULYING
ErfanLopez; apakah ini cara memikat rakyat yang sangat2 primitif bu?, rakyat indonesia sudah banyak yang pintar bu ðŸ™;CYBERBULLYING
Arosyid45686591; Jangan memaksakan diri jadi orang no 1 di nkri bu,serahjan saja sama pak ganjar insa allah pdip makin maju;NON-CYBERBULYING
Ian_1989crb; Sudah bukn hal aneh... tiap thun2 politik rakyat bagaikan daun salam..!!;NON-CYBERBULYING
BastianYong; Hanya Wong Edan yg mau pilih anda;CYBERBULLYING
Jek172; Gk usah ngebet;NON-CYBERBULYING
ginastyas; @haloarijp;NON-CYBERBULYING
pann48394524; kocak;CYBERBULLYING
nawwaf1nadhif2; maaf buðŸ™ kayaknya ibu gagal merakyat deh. coba d perbaiki lagi dan riset dulu wong cilik itu seperâ€¦ https://t.co/3OrGUfywa0;NON-CYBERBULYING
GolPong; Energi external;NON-CYBERBULYING
FerdinanNangin; Bbm tuh loo urus.. Bsa nrunin ngga;NON-CYBERBULYING
Gm3559465411; Pencitraan teros;CYBERBULLYING
rahendrataa; Foto pertama gak fokus males banget liatnya;NON-CYBERBULYING
qanza01; Muntah gua baca nya;CYBERBULLYING
cakdimdim; WONG CILIK yang mana ???? perasaan kemaren WONG CILIK SIBUK DEMO , ANDA SIBUK ULTAH ðŸ¥±ðŸ¥±ðŸ¥±;NON-CYBERBULYING
alhanif15728651; Saya kerja di dunia F&amp;NON-CYBERBULYING
saltimisosoup;Warungnya kurang laris kah? Kok yang beli cuma tiga orang (sama kameramen)? Biasanya warung kerap ramai dengan masyarakat. Apa diusir dulu sebelum shooting? Loh, tapi bukannya bersama wong cilik?;NON-CYBERBULYING
Mareeya97516940; Rakyat yg mana bu? Waktu naikin bbm ibu mikir ga klo rakyat miskin jd tmbh miskin?;NON-CYBERBULYING
anjasprayogo2; Ko ga malu ya;NON-CYBERBULYING
Fransi25; Makan pecel, dessert nya duren.;NON-CYBERBULYING
Bangdion18; Walahh energinya dari warung pecel ya....;NON-CYBERBULYING
PhotographyAan;saya selaku penjual pecel , wong cilik , dan pemakai sendal jepit ngerasa itu bukan warung pecel biasa , mana ada wong cilik makan pecel cuci mulutnya durian , mentok jg teh hangat;NON-CYBERBULYING
AgfannyAndrean_; Matamu;CYBERBULLYING
dhielah_fadilah; Hahahahaha;NON-CYBERBULYING
Kridarien; Itu bukan warung wong cilik,sudah menengah ke atas;NON-CYBERBULYING
ekoanto1982; Pencintraan golek massa ... nek wani ngedukne bbm berarti partainya wong cilik;NON-CYBERBULYING
Arief_bond; Bagi2 kaos mukanya ngga di kondisikan;CYBERBULLYING
rakyat_kiri;Saya rela jadi tim kampanye relawan tanpa dibayar untuk siapapun yg maju jadi presiden, tapi kecuali puan, dibayar pun saya lebih memilih yg lain. Saya hormat kepada kakek mu tapi tidak dengan ibumu dan kamu yg tidak hormat dengan rakyat. Cuih;NON-CYBERBULYING
wasikkentang; lawak;CYBERBULLYING
UripMaulana4; GfgvvzGghnbczaq15i9pkn vhmmmmllzvbmmlllklhmgdhgtiklllkjkllllllkkjhxBnvbbbvcvvd  ,nb  sndjdhxbdbdbdâ;NON-CYBERBULYING
IWAN79915332;Kalau lagi nyari Suara, jualannya selalu ParTAI Wong Cilik...Giliran dikasih kesempatan Berkuasa, berubah jadi ParTAI Wong Licik..!!! Masih ada yg mau ketipu utk Kesekian kali....????? Gue mah Ogaahh..!!!;CYBERBULLYING
imamfajrulf; Pov wong cilik : aku maneh;NON-CYBERBULYING
eddotamasya; si paling wong cilik ðŸ™;CYBERBULLYING
irfan_skuy; Gak bisa ber word word;NON-CYBERBULYING
annisafda;Warung nasi pecelnya bertenda dan kursi pake disarungi yaa buk tapi setau saya warung pecel ga seperti itu, ini mah warung pecel elit buk pasti harga pecelnya lebih dari 10K;NON-CYBERBULYING
Vinabirs; ðŸ–•ðŸ‘»ðŸ‘»ðŸ’©ðŸ‘»ðŸ’©;NON-CYBERBULYING
rijalthahir; Warung pecelnya saaaangat mirip warung pecel wong cilik. Mejanya, tempatnya, seeeeemuuuuaaaanyaaa;NON-CYBERBULYING
yepoo_lusi; Pencitraan nih?;CYBERBULLYING
zahiraljufri; meja warung pecelnya ekslusif bgt wkwkwkwkwkwkw nggokeh;CYBERBULLYING
Ilhm141; Sudahlah...ga sekalian ke warung bakso? Kali aja bisa kepincut muka tukang bakso...ðŸ˜µâ€ðŸ’«ðŸ˜µâ€ðŸ’«it's so late...buat jualan ðŸ—£ï¸ðŸ‘ŽðŸ‘Ž;NON-CYBERBULYING
Ramdan88876498;pe pegel jempol scrol cari koment yang positif! yang sabar yah bu, karena ini yang partai/ibu tanam selama ini! dengan sangat jelas disini kita rakyat harus mengawal KPU, rakyat yang bermedia sosial dengan penuh kreatif akan terus mengawasi setiap TPU agar jujur apa adanya!;NON-CYBERBULYING
YaGak13; Tai;CYBERBULLYING
Zerstort1; ente kadang kadang, kalo ngelawak sangat terstruktur;CYBERBULLYING
Zerstort1;Partai wong cilik???Halo ibu puan yang terhormat apakah anda pernah merasakan makan nasi sama garem doang???;NON-CYBERBULYING
JPrabavany; Kembarannya mbak Rara;CYBERBULLYING
mahendradipra; Wong cilik sebagi bagian utk kepentingan Wong Besar;NON-CYBERBULYING
finfino_; BBM buk mahal tolong berpihak ke wong cilik wkwkw;CYBERBULLYING
namannahanaman; https://t.co/TIU0MzIjlm;NON-CYBERBULYING
uninternfess_; Bikin pencitraaan aja gagal total,apalagi ngurus rakyat pasti..;CYBERBULLYING
DyDiana6; Partai wong sendal jepit, bagi2 kaos d lempar plus cemberut pula, judes amat;CYBERBULLYING
AndreasSamiono; Partai wong LICIK;CYBERBULLYING
bintangareben; Si paling sendal jepit tsay;CYBERBULLYING
Ariefmantoi; Sudahlah mbak, gak usah peralat wong cilik terus. Kasihan rakyat..;NON-CYBERBULYING
zaay789; Tai;CYBERBULLYING
zaay789;Tai;CYBERBULLYING
AnakSultan_____; Ini akun nya rara pawang hujan ya..???ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
hiraethsplace; partai wong cilik ta licik;CYBERBULLYING
slebeyy; Partai wong cilik tapi menyusahkan wong cilik. Kadernya korupsi memperkaya diri bukan memperkaya wong cilik !;CYBERBULLYING
pagidanhujan; Mohon maaf sebelumnya mba Puan, Partai wong cilik tp kok rakyatnya masih banyak yg kesusahan ya ðŸ˜¢;NON-CYBERBULYING
fachrymanan; Ngak percoyo;NON-CYBERBULYING
bebek_gulai; Bacooooottttt;CYBERBULLYING
Ard96643431; Kenapa warung pecel di daerahku nggak se rapi ini ya bu? :(;NON-CYBERBULYING
SiAtoek; Warung pecel VIP;NON-CYBERBULYING
SendyAdelphia; Mewah sekali warung pecelnya pake taplak meja kursi di sarungin, wong cilik banget ya bu;NON-CYBERBULYING
EJumnalistra; Mbak gak malu ya ngeluarin kata2 wong cilik..;CYBERBULLYING
Paradis47888520; Rskyatnya wong cilik..elit partai horang kaya;NON-CYBERBULYING
GunturPangarib3; Maju Terus Srikandi Indonesia Jangan Kendor;NON-CYBERBULYING
sabenixxx98; Mantul kak...;NON-CYBERBULYING
Soo_mat; Sudah kah melempar kaos dengan cemberut hari ini? ðŸ˜‚ðŸ˜‚ðŸ˜‚;CYBERBULLYING
KungfuBadak; wong cilik yang dimaksud mbak rara ini yang seperti apa sih? ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
Valosenadya1;Bu Puan.. nanya dong, waktu nge-tweet kayak gini ada rasa malu-malunya nggak sih..?, walau pun cuma dikit gituh…?.Padahal di luaran sana banyak loh yg muntah saking nahan enek bacanya…!!;CYBERBULLYING
Arwana61486428; NDOBOS BU. DULU WAKTU SBY NAIKKAN BBM IBU NANGISÂ². LHA INI JOKOWI NAIKKAN BBM ENTAH BRP KALI IBU ANTENGÂ² WAE.;CYBERBULLYING
jonyagunk; Warung kok meja nya beralaskan kain putih .. ndak ada gooday fress, marimas, nutrisari, krupuk blek,;NON-CYBERBULYING
Hallolla_;Iyaya makan pecel di warung wong cilik, tapi pake tenda sama meja di taplakin putih. Itu mah udah di setting. Nggak apa adanya. Aelah makin kesini makin keliatan;NON-CYBERBULYING
adi_rossoneri; https://t.co/BBqr7p6OYk;NON-CYBERBULYING
itanuralifah; Reply lebih banyak dari like;NON-CYBERBULYING
purnomo_inzaghi; Warung pecel mana itu mbak? Mejanya mewah, bersih, tempatnya juga rapi banget...ðŸ˜†;NON-CYBERBULYING
nguyennnnnnnn__; Ketika reply lebih banyak daripada like. Ketika orang lebih suka mengomentari daripada menyukai. Jiaakhhh;CYBERBULLYING
tmywijaya; @ronianandaa @ronianandaa kenapa km rt sih ron bahay;NON-CYBERBULYING
oneboy_z; Tim suksesnya Pye sih itu rumah makan elit,, mending pecat aja tim suksesnya ðŸ¤£ðŸ¤£ðŸ¤£;CYBERBULLYING
dewaketa; Warungnya sepi sekali ya;NON-CYBERBULYING
cassandrahry004; Sandal jepit gak boleh digunakan dijalan raya saat naik motor bu.. ganti aja slogannya bu;CYBERBULLYING
wawan49301931; Partainya wong LICIK kaleeee;CYBERBULLYING
tutut_pedes; Bu nangis bu bbm naik ayolahhh..;NON-CYBERBULYING
zaydiavolo; Sing cilik opone nju?;NON-CYBERBULYING
reserama_; Janji ga mateni mic;CYBERBULLYING
Ox_Winnyone; ðŸ˜‚ðŸ˜‚;NON-CYBERBULYING
druuuiig; Gila kali komennya 10k wkwkwkwkwkw;NON-CYBERBULYING
Fikrikucy97; Sejak kapan warung pecel wong cilik ada alas kain putih nya, udah kayak meja dan kursi tamu undangâ€¦ https://t.co/LgIyHsiZFP;NON-CYBERBULYING
masbiewin; Wong cilik? Saya wong cilik dgn gaji UMR belum merasa terwakili sama ibu. Wong cilik dari sisi mana buuu?;NON-CYBERBULYING
bukaotak; Cak imin ini seperti nggak punya prinsip politik, siapapun yang nguntungin akan dia rangkul gk pedâ€¦ https://t.co/c1WokqCnY6;NON-CYBERBULYING
entinsunda;Ia maka dari itu rakyat Indonesia tetep dibikin miskin tetep jd wong cilik, kalo rakyat Indonesia jd pd kaya nnti ngga akan ada yg milih partai mu..;NON-CYBERBULYING
AhmadSidiq87; Camera on mic mute;NON-CYBERBULYING
maulanapananta; Warungnya rapi dan bersih mbak, pasti pemiliknya juga punya cafe &amp;NON-CYBERBULYING
fxus_; Seumur-umur saya makan di warung nasi pecel, baru kali ini liat ada yang nyediain duren. Biasa sih peyek / bakwan.;NON-CYBERBULYING
DamarPrastya2; Wong cilik wkwowkwok coba agak tinggi pasti ga cilik ðŸ¤£ðŸ¤£;NON-CYBERBULYING
Anjayy87288125; Anjay si paling merakyat;CYBERBULLYING
DenmasSojo; Tolong orang ini ditangkap karena mengatakan kebenaran ðŸ¤£ðŸ¤£ðŸ¤£ https://t.co/mJRrr9RwVU;CYBERBULLYING
langajadeh;" Taplak meja dan kursinya sgt jauh dr kata 'warung' ya Bu,, mmg warung ibu ""MEMANG BEDA""";NON-CYBERBULYING
BurungB93594479; Udah gak mempan, sory.;NON-CYBERBULYING
Najah_FA; Wkwkwkwkkkwkwkwkwkwkwkwkkwkwkkwkekwkwkkwkwkwkkwkw;CYBERBULLYING
_aamajang; Saya menghirup udaraâ€ pencitraan disiniðŸ™Š;CYBERBULLYING
Candra06529327; Saya sih nooooo....;NON-CYBERBULYING
hermessary; Warung pecel macam apa pakai meja dan taplak linen cakep betul .. @KompasTV;NON-CYBERBULYING
sofyan_fend; Partai wong licik mungkin mksudnya. Ups!;CYBERBULLYING
ajenghildaaa; so iye lu;CYBERBULLYING
MommyEsh; udah bu mending ga usah kampanye dlu, istirahat sejenak, berdoa sm Tuhan supaya diberi jalan yg beâ€¦ https://t.co/nuQJQNP45Y;NON-CYBERBULYING
hajimaukhti; affh iyh ????;NON-CYBERBULYING
iwatarbanten; Gimmik doang anjeeng;CYBERBULLYING
eyecaptainnn; HAHAHAHAHAHAHAHAHAHA;CYBERBULLYING
doe36992196; Mana warung cuci mulut nya pake duren? Meja nya rapih kaya prasmanan kondangan;NON-CYBERBULYING
dauzseven; Ngaku partai wong cilik tapi menghina tukang bakso;NON-CYBERBULYING
rajaarhmn_; wong cilik makan penutup ny masa duren;NON-CYBERBULYING
GIdrissawam; wong cilik mana nih buk .. abis makan pecel cuci mulut pake duren .. pas demo wong cilik kenaikanâ€¦ https://t.co/aeKGrTjGDx;NON-CYBERBULYING
adhe_ferdian; Masih laku jualan wong cilik? Rakjel pusing harga sembako naik semua udh berbuat apa? Petani2 pusiâ€¦ https://t.co/sccb5Rb4Rm;NON-CYBERBULYING
