Comment,Label
"['partainya', 'cilik', 'tp', 'cilik', 'menjerit2', 'apa2', 'gak', 'ditolong', 'aja', 'nangis2', 'bu', 'bbm', 'perjuangkan', 'lg', 'bu', 'buktikan', 'bu', 'semangat']",NON-CYBERBULYING
['cilik'],NON-CYBERBULYING
"['dikit', 'lucu', 'bu']",CYBERBULLYING
['bacottttttttttttttt'],CYBERBULLYING
"['kalo', 'pdip', 'pakai', 'slogan', 'partai', 'cilik', 'pemilu', 'sebentar']",NON-CYBERBULYING
['najis'],CYBERBULLYING
['ngentiawww'],CYBERBULLYING
"['cilik', 'mejanya', 'table', 'set', 'up']",NON-CYBERBULYING
"['kalo', 'ulang', 'gedung', 'mpr', 'warung', 'tantee']",CYBERBULLYING
"['ciee', 'yg', 'calpres', 'berpura2', 'berbaur', 'masyarakat', 'rakyat', 'ga', 'bego2', 'sih', 'tau', 'resto', 'lalapan', 'asli', 'harga', '10k', 'saran', 'aja', 'sih', 'rapat', 'yg', 'membawakan', 'suara', 'rakyat', 'mohon', 'mute', 'bisukan', 'matikan', 'mic', 'nya']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['memikat', 'rakyat', 'sangat2', 'primitif', 'bu', 'rakyat', 'indonesia', 'pintar', 'bu']",CYBERBULLYING
"['memaksakan', 'orang', 'no', '1', 'nkri', 'bu', 'serahjan', 'ganjar', 'insa', 'allah', 'pdip', 'maju']",NON-CYBERBULYING
"['bukn', 'aneh', 'thun2', 'politik', 'rakyat', 'daun', 'salam']",NON-CYBERBULYING
"['edan', 'yg', 'pilih']",CYBERBULLYING
"['gk', 'ngebet']",NON-CYBERBULYING
[],NON-CYBERBULYING
['kocak'],CYBERBULLYING
"['maaf', 'bu', 'kayaknya', 'gagal', 'merakyat', 'deh', 'coba', 'd', 'perbaiki', 'riset', 'cilik', 'seper']",NON-CYBERBULYING
"['energi', 'external']",NON-CYBERBULYING
"['bbm', 'tuh', 'loo', 'urus', 'bsa', 'nrunin', 'ngga']",NON-CYBERBULYING
"['pencitraan', 'teros']",CYBERBULLYING
"['foto', 'gak', 'fokus', 'males', 'banget', 'liatnya']",NON-CYBERBULYING
"['muntah', 'gua', 'baca', 'nya']",CYBERBULLYING
"['cilik', 'perasaan', 'kemaren', 'cilik', 'sibuk', 'demo', 'sibuk', 'ultah']",NON-CYBERBULYING
"['kerja', 'dunia', 'f', 'amp']",NON-CYBERBULYING
"['warungnya', 'laris', 'kah', 'beli', 'orang', 'kameramen', 'warung', 'kerap', 'ramai', 'masyarakat', 'diusir', 'shooting', 'loh', 'cilik']",NON-CYBERBULYING
"['rakyat', 'yg', 'bu', 'naikin', 'bbm', 'mikir', 'ga', 'klo', 'rakyat', 'miskin', 'jd', 'tmbh', 'miskin']",NON-CYBERBULYING
"['ko', 'ga', 'malu', 'ya']",NON-CYBERBULYING
"['makan', 'pecel', 'dessert', 'nya', 'duren']",NON-CYBERBULYING
"['walahh', 'energinya', 'warung', 'pecel', 'ya']",NON-CYBERBULYING
"['penjual', 'pecel', 'cilik', 'pemakai', 'sendal', 'jepit', 'ngerasa', 'warung', 'pecel', 'cilik', 'makan', 'pecel', 'cuci', 'mulutnya', 'durian', 'mentok', 'jg', 'teh', 'hangat']",NON-CYBERBULYING
['matamu'],CYBERBULLYING
['hahahahaha'],NON-CYBERBULYING
"['warung', 'cilik', 'menengah']",NON-CYBERBULYING
"['pencintraan', 'golek', 'massa', 'nek', 'wani', 'ngedukne', 'bbm', 'partainya', 'cilik']",NON-CYBERBULYING
"['bagi2', 'kaos', 'mukanya', 'ngga', 'kondisikan']",CYBERBULLYING
"['rela', 'tim', 'kampanye', 'relawan', 'dibayar', 'yg', 'maju', 'presiden', 'kecuali', 'puan', 'dibayar', 'memilih', 'yg', 'hormat', 'kakek', 'mu', 'ibumu', 'yg', 'hormat', 'rakyat', 'cuih']",NON-CYBERBULYING
['lawak'],CYBERBULLYING
"['gfgvvzgghnbczaq15i9pkn', 'vhmmmmllzvbmmlllklhmgdhgtiklllkjkllllllkkjhxbnvbbbvcvvd', 'nb', 'sndjdhxbdbdbd']",NON-CYBERBULYING
"['nyari', 'suara', 'jualannya', 'partai', 'cilik', 'giliran', 'dikasih', 'kesempatan', 'berkuasa', 'berubah', 'partai', 'licik', 'yg', 'ketipu', 'utk', 'kesekian', 'kali', 'gue', 'mah', 'ogaahh']",CYBERBULLYING
"['pov', 'cilik', 'maneh']",NON-CYBERBULYING
"['si', 'cilik']",CYBERBULLYING
"['gak', 'ber', 'word', 'word']",NON-CYBERBULYING
"['warung', 'nasi', 'pecelnya', 'bertenda', 'kursi', 'pake', 'disarungi', 'yaa', 'buk', 'setau', 'warung', 'pecel', 'ga', 'mah', 'warung', 'pecel', 'elit', 'buk', 'harga', 'pecelnya', '10k']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['warung', 'pecelnya', 'saaaangat', 'warung', 'pecel', 'cilik', 'mejanya', 'tempatnya', 'seeeeemuuuuaaaanyaaa']",NON-CYBERBULYING
"['pencitraan', 'nih']",CYBERBULLYING
"['meja', 'warung', 'pecelnya', 'ekslusif', 'bgt', 'wkwkwkwkwkwkw', 'nggokeh']",CYBERBULLYING
"['ga', 'warung', 'bakso', 'kali', 'aja', 'kepincut', 'muka', 'tukang', 'bakso', 'it', 's', 'so', 'late', 'jualan']",NON-CYBERBULYING
"['pe', 'pegel', 'jempol', 'scrol', 'cari', 'koment', 'positif', 'sabar', 'yah', 'bu', 'partai', 'tanam', 'rakyat', 'mengawal', 'kpu', 'rakyat', 'bermedia', 'sosial', 'penuh', 'kreatif', 'mengawasi', 'tpu', 'jujur']",NON-CYBERBULYING
['tai'],CYBERBULLYING
"['ente', 'kadang', 'kadang', 'kalo', 'ngelawak', 'terstruktur']",CYBERBULLYING
"['partai', 'cilik', 'halo', 'puan', 'terhormat', 'merasakan', 'makan', 'nasi', 'garem', 'doang']",NON-CYBERBULYING
"['kembarannya', 'mbak', 'rara']",CYBERBULLYING
"['cilik', 'sebagi', 'utk', 'kepentingan']",NON-CYBERBULYING
"['bbm', 'buk', 'mahal', 'tolong', 'berpihak', 'cilik', 'wkwkw']",CYBERBULLYING
[],NON-CYBERBULYING
"['bikin', 'pencitraaan', 'aja', 'gagal', 'total', 'ngurus', 'rakyat']",CYBERBULLYING
"['partai', 'sendal', 'jepit', 'bagi2', 'kaos', 'd', 'lempar', 'plus', 'cemberut', 'judes']",CYBERBULLYING
"['partai', 'licik']",CYBERBULLYING
"['si', 'sendal', 'jepit', 'tsay']",CYBERBULLYING
"['mbak', 'gak', 'peralat', 'cilik', 'kasihan', 'rakyat']",NON-CYBERBULYING
['tai'],CYBERBULLYING
['tai'],CYBERBULLYING
"['akun', 'nya', 'rara', 'pawang', 'hujan', 'ya']",NON-CYBERBULYING
"['partai', 'cilik', 'ta', 'licik']",CYBERBULLYING
"['partai', 'cilik', 'menyusahkan', 'cilik', 'kadernya', 'korupsi', 'memperkaya', 'memperkaya', 'cilik']",CYBERBULLYING
"['mohon', 'maaf', 'mba', 'puan', 'partai', 'cilik', 'tp', 'rakyatnya', 'yg', 'kesusahan', 'ya']",NON-CYBERBULYING
"['ngak', 'percoyo']",NON-CYBERBULYING
['bacooooottttt'],CYBERBULLYING
"['warung', 'pecel', 'daerahku', 'nggak', 'rapi', 'ya', 'bu']",NON-CYBERBULYING
"['warung', 'pecel', 'vip']",NON-CYBERBULYING
"['mewah', 'warung', 'pecelnya', 'pake', 'taplak', 'meja', 'kursi', 'sarungin', 'cilik', 'banget', 'ya', 'bu']",NON-CYBERBULYING
"['mbak', 'gak', 'malu', 'ya', 'ngeluarin', 'kata2', 'cilik']",CYBERBULLYING
"['rskyatnya', 'cilik', 'elit', 'partai', 'horang', 'kaya']",NON-CYBERBULYING
"['maju', 'srikandi', 'indonesia', 'kendor']",NON-CYBERBULYING
"['mantul', 'kak']",NON-CYBERBULYING
"['kah', 'melempar', 'kaos', 'cemberut']",CYBERBULLYING
"['cilik', 'mbak', 'rara', 'sih']",NON-CYBERBULYING
"['bu', 'puan', 'nanya', 'nge', 'tweet', 'kayak', 'gini', 'malu', 'malunya', 'nggak', 'sih', 'dikit', 'gituh', 'luaran', 'loh', 'yg', 'muntah', 'saking', 'nahan', 'enek', 'bacanya']",CYBERBULLYING
"['ndobos', 'bu', 'sby', 'naikkan', 'bbm', 'nangis', 'lha', 'jokowi', 'naikkan', 'bbm', 'brp', 'kali', 'anteng', 'wae']",CYBERBULLYING
"['warung', 'meja', 'nya', 'beralaskan', 'kain', 'putih', 'ndak', 'gooday', 'fress', 'marimas', 'nutrisari', 'krupuk', 'blek']",NON-CYBERBULYING
"['iyaya', 'makan', 'pecel', 'warung', 'cilik', 'pake', 'tenda', 'meja', 'taplakin', 'putih', 'mah', 'udah', 'setting', 'nggak', 'aelah', 'kesini', 'keliatan']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['reply', 'like']",NON-CYBERBULYING
"['warung', 'pecel', 'mbak', 'mejanya', 'mewah', 'bersih', 'tempatnya', 'rapi', 'banget']",NON-CYBERBULYING
"['reply', 'like', 'orang', 'suka', 'mengomentari', 'menyukai', 'jiaakhhh']",CYBERBULLYING
"['km', 'rt', 'sih', 'ron', 'bahay']",NON-CYBERBULYING
"['tim', 'suksesnya', 'pye', 'sih', 'rumah', 'makan', 'elit', 'mending', 'pecat', 'aja', 'tim', 'suksesnya']",CYBERBULLYING
"['warungnya', 'sepi', 'ya']",NON-CYBERBULYING
"['sandal', 'jepit', 'gak', 'dijalan', 'raya', 'motor', 'bu', 'ganti', 'aja', 'slogannya', 'bu']",CYBERBULLYING
"['partainya', 'licik', 'kaleeee']",CYBERBULLYING
"['bu', 'nangis', 'bu', 'bbm', 'ayolahhh']",NON-CYBERBULYING
"['sing', 'cilik', 'opone', 'nju']",NON-CYBERBULYING
"['janji', 'ga', 'mateni', 'mic']",CYBERBULLYING
[],NON-CYBERBULYING
"['gila', 'kali', 'komennya', '10k', 'wkwkwkwkwkw']",NON-CYBERBULYING
"['warung', 'pecel', 'cilik', 'alas', 'kain', 'putih', 'nya', 'udah', 'kayak', 'meja', 'kursi', 'tamu', 'undang']",NON-CYBERBULYING
"['cilik', 'cilik', 'dgn', 'gaji', 'umr', 'terwakili', 'cilik', 'sisi', 'buuu']",NON-CYBERBULYING
"['cak', 'imin', 'nggak', 'prinsip', 'politik', 'nguntungin', 'rangkul', 'gk', 'ped']",NON-CYBERBULYING
"['rakyat', 'indonesia', 'tetep', 'dibikin', 'miskin', 'tetep', 'jd', 'cilik', 'kalo', 'rakyat', 'indonesia', 'jd', 'pd', 'kaya', 'nnti', 'ngga', 'yg', 'milih', 'partai', 'mu']",NON-CYBERBULYING
"['camera', 'on', 'mic', 'mute']",NON-CYBERBULYING
"['warungnya', 'rapi', 'bersih', 'mbak', 'pemiliknya', 'cafe', 'amp']",NON-CYBERBULYING
"['seumur', 'umur', 'makan', 'warung', 'nasi', 'pecel', 'kali', 'liat', 'nyediain', 'duren', 'sih', 'peyek', 'bakwan']",NON-CYBERBULYING
"['cilik', 'wkwowkwok', 'coba', 'ga', 'cilik']",NON-CYBERBULYING
"['anjay', 'si', 'merakyat']",CYBERBULLYING
"['tolong', 'orang', 'ditangkap', 'kebenaran']",CYBERBULLYING
"['taplak', 'meja', 'kursinya', 'sgt', 'dr', 'warung', 'ya', 'bu', 'mmg', 'warung', 'beda']",NON-CYBERBULYING
"['udah', 'gak', 'mempan', 'sory']",NON-CYBERBULYING
['wkwkwkwkkkwkwkwkwkwkwkwkkwkwkkwkekwkwkkwkwkwkkwkw'],CYBERBULLYING
"['menghirup', 'udara', 'pencitraan']",CYBERBULLYING
"['sih', 'nooooo']",NON-CYBERBULYING
"['warung', 'pecel', 'pakai', 'meja', 'taplak', 'linen', 'cakep']",NON-CYBERBULYING
"['partai', 'licik', 'mksudnya', 'ups']",CYBERBULLYING
"['so', 'iye', 'lu']",CYBERBULLYING
"['udah', 'bu', 'mending', 'ga', 'kampanye', 'dlu', 'istirahat', 'berdoa', 'sm', 'tuhan', 'jalan', 'yg', 'be']",NON-CYBERBULYING
"['affh', 'iyh']",NON-CYBERBULYING
"['gimmik', 'doang', 'anjeeng']",CYBERBULLYING
['hahahahahahahahahaha'],CYBERBULLYING
"['warung', 'cuci', 'mulut', 'nya', 'pake', 'duren', 'meja', 'nya', 'rapih', 'kaya', 'prasmanan', 'kondangan']",NON-CYBERBULYING
"['ngaku', 'partai', 'cilik', 'menghina', 'tukang', 'bakso']",NON-CYBERBULYING
"['cilik', 'makan', 'penutup', 'ny', 'duren']",NON-CYBERBULYING
"['cilik', 'nih', 'buk', 'abis', 'makan', 'pecel', 'cuci', 'mulut', 'pake', 'duren', 'pas', 'demo', 'cilik', 'kenaikan']",NON-CYBERBULYING
"['laku', 'jualan', 'cilik', 'rakjel', 'pusing', 'harga', 'sembako', 'udh', 'berbuat', 'petani2', 'pusi']",NON-CYBERBULYING
"['pede', 'mbakk', 'melampau', 'batas']",NON-CYBERBULYING
"['lg', 'pansos', 'ya', 'bu']",CYBERBULLYING
"['omong', 'kosong']",CYBERBULLYING
"['gerombolanmu', 'hidup', 'mewah', 'penderitaan', 'kaum', 'sandal', 'jepit', 'kau', 'sapa', '5', 'menjelang', 'pemilu', 'kebijakan', 'menyakiti', 'seakan2', 'kau', 'membutuhkan', 'manusia', 'terbuat']",NON-CYBERBULYING
"['menaaaang', 'juaal', 'aja', 'negara', 'menaang', 'menaang', 'udah', 'oeng', 'curang', 'rakyat', 'stupid', 'idiot', 'smua', 'kalo', 'ointer', 'udah', 'terguling', 'oemerintah', 'perang', 'eakyat', 'udh', 'takyat', 'diem']",CYBERBULLYING
[],NON-CYBERBULYING
"['udah', 'cilik', 'sendal', 'jepit', 'bu', 'kalo', 'udah', 'kasbon', 'g']",NON-CYBERBULYING
"['ih', 'bagus', 'kali', 'nyaa', 'warung', 'pecel', 'bu', 'puan', 'nii', 'mahal', 'mesti', 'harga', 'menunya', 'ya', 'bu']",NON-CYBERBULYING
"['bu', 'puann', 'bagibthrbuat', 'buuuu']",NON-CYBERBULYING
"['capres', 'elit', 'licik']",CYBERBULLYING
"['ngaku', 'partai', 'cilik', 'giliran', 'pertamina', 'menaikkan', 'harga', 'bbm', 'puan', 'maharani', 'bangsat', 'bangsa', 'happy', 'happy', 'rayain', 'ultah', 'digedung', 'wakil', 'rakyat', 'berkantor', 'bedebah']",CYBERBULLYING
"['bagus', 'bu', 'kursinya', 'merakyat']",NON-CYBERBULYING
"['partai', 'ngiclik']",CYBERBULLYING
"['warung', 'horang', 'kaya', 'beda', 'dgn', 'warung', 'horang', 'cilik', 'munafik']",CYBERBULLYING
[],NON-CYBERBULYING
"['wew', 'warung', 'pecel', 'model', 'tuch']",NON-CYBERBULYING
"['merakyat', 'disengaja', 'disengaja', 'merakyat']",CYBERBULLYING
"['jadikan', 'presiden', 'biar', 'berjuang', 'cilik']",NON-CYBERBULYING
"['hahahah', 'iye', 'bener', 'buk', 'akar', 'yg', 'terkadg', 'cilik', 'bahagia', 'bagaimna', 'tdak', 'bbm', 'banteng', 'merah', 'turun', 'jlan', 'skrg', 'sma', 'bbm', 'jga', 'turn', 'jlan', 'cma', 'bdah', 'arah', 'tujuan', 'sja', 'tpi', 'skrg', 'kasih', 'masukan', 'microfon', 'dimatikan']",CYBERBULLYING
"['oh', 'gitu', 'ya', 'bu']",NON-CYBERBULYING
"['anti', 'pdi']",CYBERBULLYING
"['warung', 'jg', 'mejanya', 'sarungi', 'ya', 'bu']",NON-CYBERBULYING
['boong'],NON-CYBERBULYING
"['membantai', 'cilik', 'kn', 'maksud']",CYBERBULLYING
